type,indicator,classification,notes,references
domain,365coinluxury[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365coinmaintain[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365coinmark[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365coinmarket[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365coinmaster[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365coinmax[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365coinmeta[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365coinmnp[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365coinmode[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365coinmulti[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365coinplatin[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365coinpowerful[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365coinprecious[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365coinpremise[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365coinprestige[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365coinprestigious[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365coinpriceless[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365coinpro[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365coinproduct[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365coinprofit[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365coinpromise[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365coinpropelling[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365coinrise[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365coinrising[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365coinsafe[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365coinsecured[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365coinstack[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365coinstandard[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
domain,365coinsustain[.]com,scam,Fake “Meta” coin domain,https://www.virustotal.com/gui/ip-address/45.63.119.177/relations
