type,indicator,classification,notes
domain,aide-security1.gq,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,aide-security1.ga,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,scrty.cf,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,abcd.network,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ppl-id-unlocked.ga,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,mailling2020.ga,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-assurance-maladie.ga,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,aircolelimiteproduit.ga,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,vps630165.ovh.net,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,unlocked-id-for-you.ml,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ppl-identity.ga,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,myroom-hotels.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,interacanada.gq,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,boa4.cf,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,bbva-es.gq,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,bbva-es.cf,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,b-np-secur.ml,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,appl-id-unlcoked-appl.cf,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-secure.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-compt.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-assurance.cf,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ip-51-75-142.eu,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,boa2019.ga,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,veriify-your-accoount.ml,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,produitagricole.cf,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,bnpparibasbank.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,bnp-security.cf,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli2019.cf,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-cpam.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,secures13-ameli.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,secures16-bnpparibas.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,secures15-bnpparibas.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,secures15-ameli.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,secures14-ameli.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,secures2-societegenerale.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,secure15-ameli.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,enregistrement-bnpparibas.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,sfrclient.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,xn--vrification-netfiix-inc-bcc.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,xn--support-securit-pnb.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,xn--mise--jour-informations-84b.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,watchnetflix.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,vitl-expi.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,vitale-sms-gv.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,vitale-ass-s.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,vital-cpam-recouvrement.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,vital-ameli.co,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,vignette-critair-gouv.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,verify-netflix.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,verification-netfiix.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,verification-client-poste.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,supportauth-netflix.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,support-renouvellement-ameli.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,support-moncompte-netflix.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,support-ameli-client.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,suivis-colis.me,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,suivichronopostfrance.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,suivi-verif.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,suivi-informations.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,suivi-colis-chrono-post.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,societe-generaie.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,sociale-cartesecurite.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,sidentifiermabanque.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,sfr-forfait.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,servicechronopost.net,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,service-netflx.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,service-netfiix-fr.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,service-infos-sante.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,service-informationsvitale.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,service-assucarte.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,securpass-banxo.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,securite-societe-generale.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,securite-banquedefrance-dsp2-portail.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,secure-macarte.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,secure-caf.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,santeameli.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,sante-vitale-infosante.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,sante-cartevitale-info.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,sante-carte-cpam.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,rubrique-assumaladie.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,restri-aimazone.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,renouvellements.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,renouvellement2022.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,renouvellement-sante.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,renouvellement-impots.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,renouvellement-cartevitale.site,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,renouvellement-cartevitale.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,renouvelement-ameli.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,renouv-client.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,renouv-cartev.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,reglement-netflix.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,redirection-compte-client.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,procedureideal.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,paypal-account.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,paymentplatformbv.online,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,pass-societe-generale.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,paiement-netflix.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,paiement-fr.me,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ntx.center,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,nouvelle-carte-vitale.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,netflixseries.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,netflixcheck.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,netflix-suspensions.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,netflix-renouvellementv.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,netflix-renouvellement.ml,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,netflix-echec.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,netflix-connect.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,netflix-compte-renouvellement.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,netflix-abonnements.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,netfilx-authentification.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,netfiix-erneuerung-ch.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,netfiix-client-fr.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,monsecurpass-bnpparisbas.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,monespace-cartevitale.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,moncomptenetflix-connexion.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,moncompte-secure.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,moncompte-laposte.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,mon-renouvellement-client.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,mon-compte-netfiix.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,mavitale-cpam.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,mavignette-critair.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,macartevitaleameli.net,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,log-id-signin.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,infovitaleameli.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,infossecvitale.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,infosantefrance.net,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,informations-vitales-account.org,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,information-vitale.net,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,information-account.net,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,infoameli.net,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,info-snapchat.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,info-santeameli.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,info-me.click,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,info-form.net,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,info-critair.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,id-signin.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,help12.net,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,gouvfranceconnectameli-renouvellement.eu,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ggtr.tk,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,france-impots.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,fr-support-netflix.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,fr-netflix-renouvellement.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,fr-assistance-nflixapp.cf,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,formulairecartevitale.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,formulaire-securite-sociale.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,facture-netflix.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,espaceclient-assurancesante.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,espace-facturation.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,espace-amelifrance.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,epargneparticuliersco.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,epaiements.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,cvitale-account.net,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,critairservice.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,critairfranceprix.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,critair-infosms.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,critair-certificats.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,critair-certificat-gouv.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,critair-attestation.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,critair-actualisations.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,crit-air.ml,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,crit-air-gouv-enregistrement.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,cpamvitale-service.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,cpamservice-vitale.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,cpamsante.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,cpamrenouv-vitale.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,cpam-service-renouvellement.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,connexion-netflx.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,connexion-amm.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,compteinfo-ameli.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,compte-suspendu-aide.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,commande-crit-air.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,colissimo-web.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,clients-infoss.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,chronoqost.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,chronopost.express,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,chronopost-suivit.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,chronopost-moncolis.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,chronopost-erreur.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,chronopost-acceuil.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,chronop-colis.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,chrono-votrecolis.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,chrono-interruption.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,certificats-critair.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,certification-critair.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,certificat-vign-auto.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,certificat-critair-public.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,certificat-crit-air.ml,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,certificat-air-gouvernement.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,certificat-air-france.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,certif-critair.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,cartevit-ameli.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,carte-vitale-renouvellement.org,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,carte-cpamrenouv.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,carte-ameli.org,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,caisses-epargne.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,bouygues-moncompte-a-jour.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,bnp-moncompte.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,billscustomer.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,aupstag-gefoigt.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,aupst-gefolgt.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,assurrenouv-ameli.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,assures-ameli.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,assuremaladie-actualisation.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,assuree-info.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,assurancemaladie-cvital.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,assurance-renouvellement-carte.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,assurance-maladie-ameli-fr.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,assurance-information.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,assurance-info-cartevitale.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,assurance-client.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,assurance-ameli-cartevitale.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,assur-cartee-vitalee.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,assistance-espacepersonnel.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,assistance-account.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,app-neflix.me,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,app-ameli.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,amlisecur.ml,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,amelisafe.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,amelipro.xyz,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameliassurgouv.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli.site,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-vitalegouv.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-vitaleassurance.ml,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-vitale-carte.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-service-client.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-renouvellementcarte.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-renouvellement-assurance.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-procedure.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-macarte.eu,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-espace-maladie.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-cpamcartevitale.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-carte-vitale-info.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-assurances-cartes.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameli-assurance-vital.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ameii.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,amazon-login.org,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,aide-carte-support.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,aide-assurance-maladie.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,aide-assurance-cartevitale.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,aide-amelie.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,accountameli.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,acces-ameli.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,0ranges.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,xn--scurit-assurance-maladie-bfcf.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,xn--oprateurfrance-ckb.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,xn--chronopost-suivi-expdition-ulc.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,xn--ameli-vitaleconformit-v5b.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,votre-carte-vitale-renouvellement-ameli.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,votre-assuvitale.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,vitassur-vitale.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,vitalesrenouvellement.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,vitalerenouvellements.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,vitale-secure-sms.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,vitale-inform.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,vitale-cpamsante.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,vitale-assurances-support.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,vigncirculation2022.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,verifixt.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,verifications-orange.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,verif-cagricole.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,supportauth-ameli.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,support-vitalesecure.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,support-reactivation.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,support-paypal-secur.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,support-chrononopost.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,support-ameli-france.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,support-amazonpay.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,souscription-abo.me,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,societegeneralsecurite.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,societegeneral-info.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,societe-general-connect.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,sg-interface.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,sfr-forfait.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,sfr-anti-fraude.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,servicevitale-ameli.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,servicescartevitale.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,services-colis-chronopost.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,servicepublique-renouvellement.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,service-moncompte-ameli.info,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,service-client-macartevitale.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,service-changement.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,securite-netflix.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,secure-vital.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,secure-pay-french.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,secure-carte-ameli.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,santes-renouvellements.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,santes-infos.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,sante-carte.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,sante-ameli.net,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,restrictions-clients.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,renouvellement-info.top,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,renouvellement-cartev3-espace-secure.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,renouvellement-assurancemaladie.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,renouvellement-ameli-gov.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,renouvellement-abonetflix.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,renew-vitales-france.fr,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,remboursement-assure.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,regulation-critair.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,regularisation-sante.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,reactivation-netflix-paiements.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
domain,ppl-authentification.com,phishing,Dedicated phishing page related to a large campaign targeting France and Europe at large.
