type,indicator,classification,notes
domain,claudfront.net,malware,"Domain associated with c2 beacon of unknown malware. These domains use custom name servers geolocated in Russia, or leverage free dynamic DNS services."
domain,allowlisted.net,malware,"Domain associated with c2 beacon of unknown malware. These domains use custom name servers geolocated in Russia, or leverage free dynamic DNS services."
domain,atlas-upd.com,malware,"Domain associated with c2 beacon of unknown malware. These domains use custom name servers geolocated in Russia, or leverage free dynamic DNS services."
domain,ads-tm-glb.click,malware,"Domain associated with c2 beacon of unknown malware. These domains use custom name servers geolocated in Russia, or leverage free dynamic DNS services."
domain,cbox4.ignorelist.com,malware,"Domain associated with c2 beacon of unknown malware. These domains use custom name servers geolocated in Russia, or leverage free dynamic DNS services."
domain,hsdps.cc,malware,"Domain associated with c2 beacon of unknown malware. These domains use custom name servers geolocated in Russia, or leverage free dynamic DNS services."
