type,indicator,classification,references
domain,hklk26[.]xyz,smishing,
domain,vqsr26[.]xyz,smishing,
domain,ahct27[.]xyz,smishing,
domain,umlp27[.]xyz,smishing,
domain,kdvi28[.]xyz,smishing,
domain,xuuv28[.]xyz,smishing,
domain,lefx29[.]xyz,smishing,
domain,atsk30[.]xyz,smishing,
domain,vflu31[.]xyz,smishing,
domain,zhnv32[.]xyz,smishing,
domain,xdhh33[.]xyz,smishing,
domain,refp34[.]xyz,smishing,
domain,rczt35[.]xyz,smishing,
domain,gxkk36[.]xyz,smishing,
domain,gmec37[.]xyz,smishing,
domain,ahur38[.]xyz,smishing,
domain,asqb39[.]xyz,smishing,
domain,bjas40[.]xyz,smishing,
domain,jnmj41[.]xyz,smishing,
domain,mfis42[.]xyz,smishing,
domain,tyer43[.]xyz,smishing,
domain,spmu44[.]xyz,smishing,
domain,bxqi45[.]xyz,smishing,
domain,islf46[.]xyz,smishing,
domain,gjdl47[.]xyz,smishing,
domain,ztib48[.]xyz,smishing,
domain,ytqk49[.]xyz,smishing,
domain,cepf50[.]xyz,smishing,
domain,kcap51[.]xyz,smishing,
domain,dfeo52[.]xyz,smishing,
domain,lcrn53[.]xyz,smishing,
domain,tgav54[.]xyz,smishing,
domain,sctn56[.]xyz,smishing,
domain,cfzb57[.]xyz,smishing,
domain,lpdl60[.]xyz,smishing,
domain,bikm61[.]xyz,smishing,
domain,doif62[.]xyz,smishing,
domain,ovel63[.]xyz,smishing,
domain,bkhr64[.]xyz,smishing,
domain,vhjp65[.]xyz,smishing,
domain,guxv66[.]xyz,smishing,
domain,qgud67[.]xyz,smishing,
domain,ngkl68[.]xyz,smishing,
domain,wfug69[.]xyz,smishing,
domain,rhlw70[.]xyz,smishing,
domain,eaiys1[.]xyz,smishing,
domain,upxut2[.]xyz,smishing,
domain,obkom3[.]xyz,smishing,
domain,bsqnt4[.]xyz,smishing,
domain,rninf5[.]xyz,smishing,
domain,lrcoq6[.]xyz,smishing,
domain,hacpg7[.]xyz,smishing,
domain,dfooh8[.]xyz,smishing,
domain,slsvv9[.]xyz,smishing,
domain,eiwku10[.]xyz,smishing,
domain,tuafv11[.]xyz,smishing,
domain,pvtcb12[.]xyz,smishing,
domain,aekse13[.]xyz,smishing,
domain,sbbwr14[.]xyz,smishing,
domain,iiddf15[.]xyz,smishing,
domain,nqldt16[.]xyz,smishing,
domain,ceewi17[.]xyz,smishing,
domain,uzzau18[.]xyz,smishing,
domain,vnaeg19[.]xyz,smishing,
domain,bpdmk20[.]xyz,smishing,
domain,dyzhu21[.]xyz,smishing,
domain,yhqxk22[.]xyz,smishing,
domain,ebtxe23[.]xyz,smishing,
domain,lutod24[.]xyz,smishing,
domain,fxzzc25[.]xyz,smishing,
domain,rjebg26[.]xyz,smishing,
domain,ibjme27[.]xyz,smishing,
domain,svjem28[.]xyz,smishing,
domain,jbbsg29[.]xyz,smishing,
domain,qodmu30[.]xyz,smishing,
domain,yyaad31[.]xyz,smishing,
domain,plzjc32[.]xyz,smishing,
domain,velfu33[.]xyz,smishing,
domain,kxyps34[.]xyz,smishing,
domain,cnwfz35[.]xyz,smishing,
domain,zhgsb36[.]xyz,smishing,
domain,bypmz37[.]xyz,smishing,
domain,xnqno38[.]xyz,smishing,
domain,ccpxd39[.]xyz,smishing,
domain,qsbhi40[.]xyz,smishing,
domain,qhacw41[.]xyz,smishing,
domain,iwbxe42[.]xyz,smishing,
domain,snqwr43[.]xyz,smishing,
domain,gxrgf44[.]xyz,smishing,
domain,jfbku45[.]xyz,smishing,
domain,einsj46[.]xyz,smishing,
domain,sirdt47[.]xyz,smishing,
domain,gcfed48[.]xyz,smishing,
domain,hnxxd49[.]xyz,smishing,
domain,jpjhz50[.]xyz,smishing,
domain,pycrm2[.]xyz,smishing,
domain,easyechoes[.]com,smishing,
domain,flagshipsteak[.]com,smishing,
domain,glittersisgold[.]com,smishing,
domain,goodasgold[.]shop,smishing,
domain,takeoneforlove[.]com,smishing,
domain,u30487[.]xyz,smishing,
domain,eshatl[.]xyz,smishing,
domain,smartfashiondaily[.]com,smishing,
