type,indicator,classification,detected_date
domain,ticketsparis24[.]com,malicious,2024-07-29
domain,2024olympics[.]shop,malicious,2024-06-16
domain,shop-olympics[.]shop,malicious,2024-07-17
domain,olympicsparis[.]shop,malicious,2023-12-28
domain,parissummerolympics2024[.]online,suspicious,2023-09-27
domain,olympics2024[.]cc,suspicious,2024-06-15
domain,parkcityolympics2034[.]com,suspicious,2023-10-10
domain,2028riversidecountyolympics[.]info,suspicious,2024-11-20
domain,lakeperrisolympics2028[.]info,suspicious,2024-11-20
